GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races
0400000US01,01,Alabama,42830,37563
0400000US02,02,Alaska,71583,63909
0400000US04,04,Arizona,50068,48202
0400000US05,05,Arkansas,41262,34603
0400000US06,06,California,61933,60587
0400000US08,08,Colorado,61303,50134
0400000US09,09,Connecticut,70048,52546
0400000US10,10,Delaware,59716,49267
0400000US11,11,District of Columbia,71648,72691
0400000US12,12,Florida,47463,42670
0400000US13,13,Georgia,49321,45775
0400000US15,15,Hawaii,69592,69801
0400000US16,16,Idaho,47861,34297
0400000US17,17,Illinois,57444,47687
0400000US18,18,Indiana,49446,35339
0400000US19,19,Iowa,53712,35681
0400000US20,20,Kansas,52504,38214
0400000US21,21,Kentucky,42958,38004
0400000US22,22,Louisiana,44555,38985
0400000US23,23,Maine,49462,32677
0400000US24,24,Maryland,73971,71686
0400000US25,25,Massachusetts,69160,49743
0400000US26,26,Michigan,49847,33040
0400000US27,27,Minnesota,61481,43628
0400000US28,28,Mississippi,39680,32218
0400000US29,29,Missouri,48363,37676
0400000US30,30,Montana,46328,40757
0400000US31,31,Nebraska,52686,38565
0400000US32,32,Nevada,51450,52305
0400000US33,33,New Hampshire,66532,55106
0400000US34,34,New Jersey,71919,60607
0400000US35,35,New Mexico,44803,33810
0400000US36,36,New York,58878,49803
0400000US37,37,North Carolina,46556,37547
0400000US38,38,North Dakota,59029,41838
0400000US39,39,Ohio,49308,35713
0400000US40,40,Oklahoma,47529,44571
0400000US41,41,Oregon,51075,37469
0400000US42,42,Pennsylvania,53234,37432
0400000US44,44,Rhode Island,54891,40536
0400000US45,45,South Carolina,45238,42925
0400000US46,46,South Dakota,50979,50333
0400000US47,47,Tennessee,44361,34383
0400000US48,48,Texas,53035,49174
0400000US49,49,Utah,60922,48794
0400000US50,50,Vermont,54166,43973
0400000US51,51,Virginia,64902,67610
0400000US53,53,Washington,61366,53999
0400000US54,54,West Virginia,41059,32967
0400000US55,55,Wisconsin,52622,41193
0400000US56,56,Wyoming,57055,29451
0400000US72,72,Puerto Rico,18928,20092